Théâtres,1863-03-15,1863-03-16,1863-03-17,1863-03-18,1863-03-19,1863-03-20,1863-03-21,15 - 21 mar.
Opéra,,,,,,,,
Théâtre Français,4288.4,4669.3,3170.1,4954.6,4342.7,3921.5,4803.2,30149.8
Opéra-Comique,4517,1890.5,2771,2554.5,1464.5,1980.5,993.5,16171.5
Théâtre des Italiens,7329,,10305.9,5760.6,6372.7,,9676,39444.2
Odéon,2564.25,1429.5,1527.25,474.5,1201.25,1019.5,1211.75,9428
Théâtre-Lyrique,2660.5,2001.5,5339.5,1304.5,5100,1406,5200.5,23012.5
Vaudeville,2429,2451.5,1869.5,2385.5,1685.5,2285,2127,15233
Théâtre des Variétés,2074,1285.5,1120,1151.5,1213.5,,1815,8659.5
Gymnase,2368.75,1351,1258.75,836.5,1084,910.5,731.75,8541.25
Palais-Royal,3310.5,2834.25,2718,2608.75,2750.75,2806.75,2622.65,19651.65
Porte Saint-Martin,3799.5,3507.5,2374.5,,,,,9681.5
Gaîté,5767.75,5200,4706.75,4702.25,4846,4718.25,4654.5,34595.5
Ambigu-Comique,3000.75,1504.25,1003.5,1404.5,1504.25,1107.25,1108.75,10633.25
Théâtre Impérial du Cirque,8677.25,7421,6352,6836.75,7177,6117.5,6008,48589.5
Folies-Dramatiques,2014.8,761,596.3,375.45,686.75,587.7,561.65,5583.65
Délassement Comiques,1106.5,1300,1145,952.5,806,768,705.5,6783.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1604.5,1578.5,1363.5,1225.5,1391,1602.5,1170.5,9936
Folies Nouvelles,,,,,,,,
Total,57512.45,39185.3,47621.55,37527.9,41625.9,29230.95,43390.25,296094.3
