Théâtres,1863-11-01,1863-11-02,1863-11-03,1863-11-04,1863-11-05,1863-11-06,1863-11-07,1 - 7 nov.
Opéra,5866.25,7300.43,,6914.56,,9853.3,,29934.54
Théâtre Français,4033.7,1960,1870.1,2199.7,3414.9,1735.4,3349.6,18563.4
Opéra-Comique,4080.5,2585,949,3661.5,2049,4832.5,4616.25,22773.75
Théâtre des Italiens,,,,,,,,
Odéon,2528.5,577.75,600.25,654.25,880.5,535.5,791,6567.75
Théâtre-Lyrique,3305,,2122,729.5,3578,2644.5,1204.5,13583.5
Vaudeville,2256.5,648,1279,847,1050.5,1081,1203.5,8365.5
Théâtre des Variétés,2807.5,1134.5,1446.5,1282,1437,1467,1330,10904.5
Gymnase,2507.75,3332.75,3591.5,3643,3648.5,3601,3831.5,24156
Palais-Royal,3013,1404.75,2242.25,1907.25,2235.75,2129.75,2558.45,15491.2
Porte Saint-Martin,5431.25,3152,1767.75,3005.5,3208.25,2874,2652.75,22091.5
Gaîté,5202.75,2902.25,2807,2932.75,3515,3006,3356,23721.75
Ambigu-Comique,4007.75,3008,2703.25,2706,3007.75,3005.75,3010.5,21449
Théâtre Impérial du Cirque,9135.25,5788.5,4712.75,5378.5,5843.25,5000,5453.75,41312
Folies-Dramatiques,2578.35,1275,1016.15,1123.15,1328.15,1172.55,997.5,9490.85
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,56754.05,35068.93,27107.5,36984.66,35196.55,42938.25,34355.3,268405.24
