Théâtres,1863-05-03,1863-05-04,1863-05-05,1863-05-06,1863-05-07,1863-05-08,1863-05-09,3 - 9 mai
Opéra,,,,,,,,
Théâtre Français,1860.2,2815.7,2750.7,2142.2,2674.7,2051.2,753.2,15047.9
Opéra-Comique,4425.25,2159.5,2988.5,2357,3636,2556.5,4391,22513.75
Théâtre des Italiens,,,,,,,,
Odéon,942.5,735.75,583.5,320.5,3232.75,748.75,648,7211.75
Théâtre-Lyrique,1281,2158.5,,1965,1533,3271.5,1323.5,11532.5
Vaudeville,2284.5,2944.5,3045.5,2593,2596.5,3099.5,2912,19475.5
Théâtre des Variétés,1900,1641,1609,1415,1617,1662,1224,11068
Gymnase,,1608,1777.5,1387.5,1563.25,1814,1723,9873.25
Palais-Royal,2464.7,1641,1915,1606,1510.2,1223.65,1155.2,11515.75
Porte Saint-Martin,3904.75,1708.25,1514.5,1727.5,1536.25,1512.5,971,12874.75
Gaîté,2832.75,1676.5,1721,1354.25,1604.75,1584.5,937.25,11711
Ambigu-Comique,1932,1021.5,1001,908.75,1931.5,,1650.25,8445
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1083.2,331.35,371.55,,,2156.05,1601.65,5543.8
Délassement Comiques,236,281,265.5,168,213.5,107.5,242,1513.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,25146.85,20722.55,19543.25,17944.7,23649.4,21787.65,19532.05,148326.45
