Théâtres,1863-01-11,1863-01-12,1863-01-13,1863-01-14,1863-01-15,1863-01-16,1863-01-17,11 - 17 jan.
Opéra,,,,,,,,
Théâtre Français,3288.6,5742.2,1358.5,5451.6,4066.5,5916.6,5499.4,31323.4
Opéra-Comique,5278.5,4083.75,4247.5,4078.5,4236,3601.25,4891,30416.5
Théâtre des Italiens,10950,,6744.5,,10977.25,,8376,37047.75
Odéon,1254.5,394,227.25,429,747.5,388.75,506.35,3947.35
Théâtre-Lyrique,3503.5,1309,6650.5,1285.5,6628.5,1362,6803,27542
Vaudeville,985.5,926.5,909,1233.5,1404.5,1138,1094.5,7691.5
Théâtre des Variétés,3376,2187,1795.5,2048,1734.5,1784.5,1844.5,14770
Gymnase,3270.75,1933.75,1706,1916,2127,2124.75,2300.25,15378.5
Palais-Royal,3112.75,1917.75,1811.25,1810.5,1926,1807.95,,12386.2
Porte Saint-Martin,4612.5,4111,3174,4009.5,4031.25,4087.25,3771.25,27796.75
Gaîté,3445.25,1568,1202,,1341.25,971.5,1056,9584
Ambigu-Comique,2702,1744.25,1404.75,1204.5,1502.5,1327.75,1304.5,11190.25
Théâtre Impérial du Cirque,,4007.75,3266.25,3048,4058,3544.75,,17924.75
Folies-Dramatiques,,,,,,,,
Délassement Comiques,1329,1371,1210,,867,1150.5,1012,6939.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1840,1726.5,1425,1682,1516,1630,2113,11932.5
Folies Nouvelles,,,,,,,,
Total,48948.85,33022.45,37132,28196.6,47163.75,30835.55,40571.75,265870.95
