Théâtres,1863-02-08,1863-02-09,1863-02-10,1863-02-11,1863-02-12,1863-02-13,1863-02-14,8 - 14 fév.
Opéra,,,,,,,,
Théâtre Français,4378,5558.8,2349.9,5577.8,5574.1,2448.4,6010.6,31897.6
Opéra-Comique,4021.5,3308,4186.25,2770.75,4064,3554,5755,27659.5
Théâtre des Italiens,11328.5,,12496.6,,6875.6,12890,7826.8,51417.5
Odéon,1820.75,508.75,1323.25,1192.5,1363.5,1301.75,1644,9154.5
Théâtre-Lyrique,4214,1887,7001.5,1687,7002,1832.5,7009,30633
Vaudeville,1378,1143,1171.5,1305.5,1287,1336.5,2024.5,9646
Théâtre des Variétés,2211,902,885,,1475.5,2324,2713,10510.5
Gymnase,2876,1664.25,1678.5,1751.25,1623.5,1799.5,1644.5,13037.5
Palais-Royal,2842.2,2019,2994.7,2213.75,2208.85,2216.25,2411,16905.75
Porte Saint-Martin,5037.5,3690.75,3710.25,4084.5,3874.5,3783.75,4457,28638.25
Gaîté,3848,2201.25,1812,1512.75,1806.25,1462,1641.5,14283.75
Ambigu-Comique,4018,3006.75,2702.5,2752.5,2855.25,2429.25,2417.5,20181.75
Théâtre Impérial du Cirque,5755.75,4081.5,4047.25,3111,3342.75,3501.25,4233,28072.5
Folies-Dramatiques,2401.65,,1128.75,983.25,927.5,862,,6303.15
Délassement Comiques,655,616.5,492.5,514.5,471.5,387.4,549,3686.4
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1730,1329.5,1291.5,1328,1290.5,1348,1578.5,9896
Folies Nouvelles,,,,,,,,
Total,58515.85,31917.05,49271.95,30785.05,46042.3,43476.55,51914.9,311923.65
