Théâtres,1863-09-06,1863-09-07,1863-09-08,1863-09-09,1863-09-10,1863-09-11,1863-09-12,6 - 12 sept.
Opéra,,9190.08,,9034.24,,10154.86,,28379.18
Théâtre Français,3395.1,1446.6,969.3,1527.6,2185.3,1659.9,1267.2,12451
Opéra-Comique,4951.5,2279.5,2219,2376.5,1729.25,2451,1699.25,17706
Théâtre des Italiens,,,,,,,,
Odéon,2000.25,615.5,415.25,459.75,368.75,327.75,476.25,4663.5
Théâtre-Lyrique,2240,3549,6322.5,1231.5,5095,1899,4515.5,24852.5
Vaudeville,1749.5,624.5,660,759.5,675,805,692,5965.5
Théâtre des Variétés,3062.5,1473.5,1972.5,1869.5,1728.5,1925,1001.5,13033
Gymnase,2854,1453.75,1797.75,1752,1828.75,1782.25,1638.25,13106.75
Palais-Royal,3221.75,2015,2658.5,2865.75,2509.75,2620.25,2637.7,18528.7
Porte Saint-Martin,4717,2893.75,2896.5,3005.5,2977.25,2471.5,2641,21602.5
Gaîté,5620,5290.75,5038.25,5389.5,5220.5,5211,5115.75,36885.75
Ambigu-Comique,,2409.25,1806.5,1921.75,1904,1904.25,1402.75,11348.5
Théâtre Impérial du Cirque,4582.75,1878.5,2192,2028.5,1809,,1949.75,14440.5
Folies-Dramatiques,2288.15,1064.7,987.1,947.7,809.3,885.2,681.9,7664.05
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,40682.5,36184.38,29935.15,35169.29,28840.35,34096.96,25718.8,230627.43
