Théâtres,1863-01-18,1863-01-19,1863-01-20,1863-01-21,1863-01-22,1863-01-23,1863-01-24,18 - 24 jan.
Opéra,,,,,,,,
Théâtre Français,3157.8,5516,1263.7,5676.7,5532.4,996,5636,27778.6
Opéra-Comique,5009.5,4103,2624,5126,3100,5051,3505.5,28519
Théâtre des Italiens,11045.5,,11408,,7319.75,,12516,42289.25
Odéon,1775,803.5,482,592.75,533,385.75,538.5,5110.5
Théâtre-Lyrique,3467,1369,6743.5,986.5,6508.5,2456.5,6743.5,28274.5
Vaudeville,1479.5,1276,1230,1329.5,1021.5,1002,1134,8472.5
Théâtre des Variétés,2427.5,1802.5,1418,1700.5,1622.5,1577,4417,14965
Gymnase,3246.5,2442.75,1935.75,2028.75,2029,2115,1908.25,15706
Palais-Royal,3004.5,2020.25,2222,1807.25,2110,1710.25,1710.45,14584.7
Porte Saint-Martin,4522.75,3626,4003.5,4158.75,4209.25,4822.25,4188,29530.5
Gaîté,1901.5,1078.25,720,,2815,3234.75,2704.25,12453.75
Ambigu-Comique,2557,1445,1106.5,1553.75,1320.25,1764.5,1384,11131
Théâtre Impérial du Cirque,6005,4006.5,3265.5,,4012.75,4214.9,3547.25,25051.9
Folies-Dramatiques,,,,,,,,
Délassement Comiques,1376.5,1170.5,944.5,1167,818,1046,985,7507.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1905.5,1533.5,1459,1626,1176.5,1850,1257.5,10808
Folies Nouvelles,,,,,,,,
Total,52881.05,32192.75,40825.95,27753.45,44128.4,32225.9,52175.2,282182.7
