Théâtres,1863-10-25,1863-10-26,1863-10-27,1863-10-28,1863-10-29,1863-10-30,1863-10-31,25 - 31 oct.
Opéra,6060.62,7209.42,,5969.45,,9701.89,,28941.38
Théâtre Français,2194.8,3063.4,2853.6,2653.2,3108.3,1436.4,3113,18422.7
Opéra-Comique,3986,2479.5,4206.5,1559.5,3462,1667.5,3730,21091
Théâtre des Italiens,,,,,,,,
Odéon,2145.25,801.5,704,546.25,672.25,296.5,765.25,5931
Théâtre-Lyrique,3606,1667,2778.5,1256.5,3035.5,986.5,3387.5,16717.5
Vaudeville,2196.5,951,1233,956,858.5,924,952.5,8071.5
Théâtre des Variétés,3431,2045.5,1783.5,1465.5,1655.5,1162,1465.5,13008.5
Gymnase,1738.75,2268,2436.25,3043.25,3084.25,3327.5,3302.5,19200.5
Palais-Royal,2520.75,1803,2160,1906.95,1913.25,1710.75,1909.25,13923.95
Porte Saint-Martin,5037.5,2955.5,2858.5,2120.5,2625.25,2802,2366.75,20766
Gaîté,5013,3262.5,3026,2185.5,2462.75,2148.25,3606,21704
Ambigu-Comique,4024,3027.25,3104.25,3002,2540.75,2604.5,,18302.75
Théâtre Impérial du Cirque,8502.25,6040.75,5541.25,4277.5,4277.5,4008.75,5507.75,38155.75
Folies-Dramatiques,2501,1142.25,935,650.75,855.45,773.3,978.5,7836.25
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,52957.42,38716.57,33620.35,31592.85,30551.25,33549.84,31084.5,252072.78
