Théâtres,1863-07-12,1863-07-13,1863-07-14,1863-07-15,1863-07-16,1863-07-17,1863-07-18,12 - 18 juil.
Opéra,,6140.46,,6184.86,,5923.62,,18248.94
Théâtre Français,958,700.4,878,920.2,735.7,860.8,700,5753.1
Opéra-Comique,1004.5,1139,923.5,1013,1164,,1184,6428
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,164,266.5,211,154.5,234,256,456.5,1742.5
Théâtre des Variétés,548.5,842.5,1009.5,640,863.5,1104,1558.5,6566.5
Gymnase,215,,207.25,,1098.25,1098.25,1471.25,4090
Palais-Royal,413.25,419.9,612.9,529,627.65,716.4,904.2,4223.3
Porte Saint-Martin,1294.5,1051.25,1245.5,1177.5,1178.25,1790.25,1915.75,9653
Gaîté,762.25,484,408.25,391,983,510.25,343.5,3882.25
Ambigu-Comique,902.75,531.25,564,548.25,558,702.75,703.25,4510.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,214.05,550.2,384.65,200.85,295.65,452.7,395.9,2494
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,6476.8,12125.46,6444.55,11759.16,7738,13415.02,9632.85,67591.84
