Théâtres,1863-09-13,1863-09-14,1863-09-15,1863-09-16,1863-09-17,1863-09-18,1863-09-19,13 - 19 sept.
Opéra,5127.86,7717.67,,6663.83,,,,19509.36
Théâtre Français,1602.4,780,1622.2,1249.5,1931.4,1384.1,1126.4,9696
Opéra-Comique,3199,1961,2570,3070.25,2772,3368.5,2606,19546.75
Théâtre des Italiens,,,,,,,,
Odéon,971.25,312.75,228.5,288.25,202.75,380.75,331,2715.25
Théâtre-Lyrique,2308.5,1054.5,3875.5,1884,4078,985,3544.5,17730
Vaudeville,745.5,589.5,870.5,742,675.5,866,515,5004
Théâtre des Variétés,2144,2404,2129,2231.5,2019.5,2384,1748,15060
Gymnase,1984.75,844.5,1827.5,1954.75,1920.75,2080.75,1749.5,12362.5
Palais-Royal,2502.25,2424.25,2319.75,2631.75,2315,2425.25,2000.75,16619
Porte Saint-Martin,3206,2704.5,2744.25,3254.25,3019,3241.5,2652.75,20822.25
Gaîté,5422,5107.25,5288.5,5213.5,5221,5416,4786.25,36454.5
Ambigu-Comique,3101.75,2300,1610,1701.5,1842.25,1731.25,1402.25,13689
Théâtre Impérial du Cirque,2614,2336.75,,,,,,4950.75
Folies-Dramatiques,1547.45,1002.55,502.9,878.55,722.45,786.75,627.8,6068.45
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,36476.71,31539.22,25588.6,31763.63,26719.6,25049.85,23090.2,200227.81
