Théâtres,1863-03-08,1863-03-09,1863-03-10,1863-03-11,1863-03-12,1863-03-13,1863-03-14,8 - 14 mar.
Opéra,,,,,,,,
Théâtre Français,4136.1,4897.6,3781.2,5234.5,4783.6,4799.1,4433,32065.1
Opéra-Comique,6060.5,2192.25,2188.25,1909.5,4315,3287.5,2232,22185
Théâtre des Italiens,7481.5,,7025.15,,9974.8,,6938.1,31419.55
Odéon,3204.75,1398.5,1483.75,342.25,1750,1187.5,1373.75,10740.5
Théâtre-Lyrique,3188,1268.5,5120,764.5,5836,1354.5,5801,23332.5
Vaudeville,1147.5,2105.5,1808.5,2147.5,2819,2076.5,2270,14374.5
Théâtre des Variétés,2923.5,1369.5,1152,1470,2339.5,1062,1180.5,11497
Gymnase,2909.75,1391,1025.25,817.25,1983.25,650.25,809,9585.75
Palais-Royal,3506,2932.25,2843.85,2712.6,3612.25,2711.45,3005.75,21324.15
Porte Saint-Martin,4427.5,3272.25,2705.5,3062.25,3691.75,2938.5,3142,23239.75
Gaîté,,3511.75,3062,4475,5433,4401.5,4193.5,25076.75
Ambigu-Comique,3603.5,1502,1103.75,1206,2800.5,1000.25,1019.25,12235.25
Théâtre Impérial du Cirque,9264.75,6871.25,6276,6005,8832,5412.5,6303,48964.5
Folies-Dramatiques,,,,,,,573.55,573.55
Délassement Comiques,244,246.5,,,1215.45,,361,2066.95
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2094,1554,1613.5,1631,2369.5,1680.5,2049.5,12992
Folies Nouvelles,,,,,,,,
Total,54191.35,34512.85,41188.7,31777.35,61755.6,32562.05,45684.9,301672.8
