An 1863 - Septembre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,17183.68,28379.18,19509.36,26259,20353.76,,111684.98
Théâtre Français,6582.2,12451,9696,15231,6859.9,,50820.1
Opéra-Comique,9646.5,17706,19546.75,23273.25,14483,,84655.5
Théâtre des Italiens,,,,,,,
Odéon,1179,4663.5,2715.25,3781.5,2506.75,,14846
Théâtre-Lyrique,9187.1,24852.5,17730,23960.5,11425,,87155.1
Vaudeville,5629,5965.5,5004,6743.5,5117,,28459
Théâtre des Variétés,7661,13033,15060,18521,10847,,65122
Gymnase,7219.5,13106.75,12362.5,16409.5,9911,,59009.25
Palais-Royal,6039.24,18528.7,16619,17751.4,9861.25,,68799.59
Porte Saint-Martin,12696.5,21602.5,20822.25,22265.25,12404.2,,89790.7
Gaîté,25083,36885.75,36454.5,38040.75,21669.5,,158133.5
Ambigu-Comique,5112,11348.5,13689,14817.75,9596.5,,54563.75
Théâtre Impérial du Cirque,10222,14440.5,4950.75,,,,29613.25
Folies-Dramatiques,3183.35,7664.05,6068.45,7116.35,5823.65,,29855.85
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,126624.07,230627.43,200227.81,234170.75,140858.51,,932508.57
