Théâtres,1863-09-20,1863-09-21,1863-09-22,1863-09-23,1863-09-24,1863-09-25,1863-09-26,20 - 26 sept.
Opéra,,8788.58,,9122.65,,8347.77,,26259
Théâtre Français,3878.2,1094.9,1838.9,2383.6,1591.6,2580.4,1863.4,15231
Opéra-Comique,5809,2433.5,3287.5,2566,3288.5,2797.5,3091.25,23273.25
Théâtre des Italiens,,,,,,,,
Odéon,1574.75,339,260,396.5,284.25,562.75,364.25,3781.5
Théâtre-Lyrique,3085,2412,4924,2024.5,4846.5,2172.5,4496,23960.5
Vaudeville,1894.5,667.5,886.5,816,807,1033,639,6743.5
Théâtre des Variétés,3501.5,2620,2524.5,2538.5,2346.5,2769.5,2220.5,18521
Gymnase,3261.25,2024.75,2175.75,2049.5,2124.25,2495.5,2278.5,16409.5
Palais-Royal,3504.25,2405.25,2411.75,2533.5,2328.25,2424.65,2143.75,17751.4
Porte Saint-Martin,4381.75,3074.25,2951.75,2829.75,3121,3081,2825.75,22265.25
Gaîté,5816.5,5343,5249.5,5295.25,5266.75,5600.75,5469,38040.75
Ambigu-Comique,3232.25,2302.75,2115,1534,2125.5,2005,1503.25,14817.75
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1770.75,991.3,868.7,714.7,893.4,1074.9,802.6,7116.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,41709.7,34496.78,29493.85,34804.45,29023.5,36945.22,27697.25,234170.75
