Théâtres,1863-11-15,1863-11-16,1863-11-17,1863-11-18,1863-11-19,1863-11-20,1863-11-21,15 - 21 nov.
Opéra,8501.21,7195.4,,9207.03,,9077.52,,33981.16
Théâtre Français,4394.4,2447.3,2176.1,2704.2,3242.6,2402.1,3338.1,20704.8
Opéra-Comique,,,,,,,,
Théâtre des Italiens,4152,3430.5,3813.75,4078,3029.5,2813.5,4265,25582.25
Odéon,2175.25,929.75,559.75,642,906.5,429,,5642.25
Théâtre-Lyrique,4923.5,3776.5,1312.5,3765.5,1302.5,3443.5,1076.5,19600.5
Vaudeville,2303,961.5,969,895,994.5,1039,1031,8193
Théâtre des Variétés,3069,1104.5,1340,,1364,1295.5,1608.5,9781.5
Gymnase,,3744.5,3717.25,,3801.25,3811,3711.25,18785.25
Palais-Royal,3032.25,2034.2,2250.2,1522.75,2260.7,2211.2,2264.25,15575.55
Porte Saint-Martin,5010.5,3095.5,2678,2808.75,2511.75,2361.75,2317.5,20783.75
Gaîté,4619,3232.75,3046.25,2925,3126.5,2952,3321.5,23223
Ambigu-Comique,4000.25,3010.25,2801.5,2602.75,3000.25,2808.5,2502.25,20725.75
Théâtre Impérial du Cirque,9022.5,4801.5,4329.5,,,,4409.5,22563
Folies-Dramatiques,2702.25,1577.3,1553.7,1098.35,1171.6,1070.55,1032.05,10205.8
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,57905.11,41341.45,30547.5,32249.33,26711.65,35715.12,30877.4,255347.56
