Théâtres,1859-04-16,1859-04-17,1859-04-18,1859-04-19,1859-04-20,1859-04-21,1859-04-22,16 - 22  avr.
Opéra,,,,,,,,
Théâtre Français,2286.7,2228.2,3753.4,1938.1,1205.5,,,11411.9
Opéra-Comique,6024.5,3256,6042,3301,6137,,,24760.5
Théâtre des Italiens,8978,,5221,8150,,7546.6,,29895.6
Odéon,181,918,176.5,2488,223.25,,,3986.75
Théâtre-Lyrique,5137,2839.5,4854.5,815.75,4505.25,909.25,,19061.25
Vaudeville,715,871,741,792,695,640.75,,4454.75
Théâtre des Variétés,1715.5,2486,1488.5,1554,1422.5,1101.5,,9768
Gymnase,1343.75,1570.75,871,754.5,781.5,927.5,,6249
Palais-Royal,1802,2001,1509.75,1504,1702.75,1508.25,,10027.75
Porte Saint-Martin,,,,,,,,
Gaîté,1400.65,2533.9,,1882.9,1529,1739.5,,9085.95
Ambigu-Comique,1402,2870,1101.65,943.75,954.5,1016.75,,8288.65
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,663.1,1650.15,756.7,483.85,648.75,640.75,,4843.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1941.5,1872,1718,1462,1382,1465,,9840.5
Folies Nouvelles,565,,,,,,,565
Total,34155.7,25096.5,28234,23327.5,12092.25,11855.6,,152238.9
