Théâtres,1859-07-02,1859-07-03,1859-07-04,1859-07-05,1859-07-06,1859-07-07,1859-07-08,2 - 8  juil.
Opéra,,,,,,,,
Théâtre Français,756.2,445.9,445.1,690,503.1,454.1,460.5,3754.9
Opéra-Comique,810,,588.5,378.5,965,582,692,4016
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,145,,180.5,567.5,337,213.5,291.5,1735
Théâtre des Variétés,103.5,81,136,93,211.5,148.5,98,871.5
Gymnase,266.5,139,109.5,105.25,404.25,167.5,199,1391
Palais-Royal,439.25,,300.2,216.4,180,202.85,213.4,1552.1
Porte Saint-Martin,1303.5,1164,1090.5,,1508.5,1120.75,,6187.25
Gaîté,314.5,208.75,171,226.75,270.75,172.75,530.5,1895
Ambigu-Comique,442.25,861.4,700.4,612.4,515.8,455.75,535,4123
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,114.85,145.8,148.16,146.3,112.15,115.6,153.15,936.01
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,293,,251,,993,443,343,2323
Folies Nouvelles,,,,,,,,
Total,4988.55,3045.85,4120.86,3036.1,6001.05,4076.3,3516.05,28784.76
