Théâtres,1859-10-22,1859-10-23,1859-10-24,1859-10-25,1859-10-26,1859-10-27,1859-10-28,22 - 28 oct.
Opéra,,,,,,,,
Théâtre Français,2142.1,3973.8,2038,2448.9,1212.7,2593,2365.1,16773.6
Opéra-Comique,2002.75,4533.25,4533.25,1605.5,5073.5,1761,5010,24519.25
Théâtre des Italiens,8347.1,,,6482.3,,4095.25,,18924.65
Odéon,644.25,2183,813.5,627.5,759.75,592.5,566.25,6186.75
Théâtre-Lyrique,2200.25,3739.5,2201,1008.85,2330.25,,,11479.85
Vaudeville,"2,619,50",1638,2338.5,1968,,2164,,8108.5
Théâtre des Variétés,1073,2035.5,1485.5,1251.5,1283.5,1363,1266.5,9758.5
Gymnase,1573,2646.5,1483,1470,1235.75,917.5,1134.75,10460.5
Palais-Royal,1324.2,2703.75,1205,1604.75,1303,1041.9,1105.75,10288.35
Porte Saint-Martin,"4,238,75",5677,4352.5,4036.5,,3500.75,3541.75,21108.5
Gaîté,1377.45,2629.95,1600.8,1110.05,1155.15,1292.75,1208.5,10374.65
Ambigu-Comique,1837.5,3900,3116,2844.25,2729.5,2410.4,2422.65,19260.3
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,1807.45,947.65,423.95,380.2,,420.45,3979.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,610.5,1378.5,774.5,559,642.5,651,681.5,5297.5
Folies Nouvelles,,,,,,,,
Total,23132.1,38846.2,26889.2,27441.05,18105.8,22383.05,19723.2,176520.6
