Théâtres,1859-04-09,1859-04-10,1859-04-11,1859-04-12,1859-04-13,1859-04-14,1859-04-15,9 - 15 avr.
Opéra,,,,,,,,
Théâtre Français,1601.3,4009.4,2841.2,1465.8,2462.7,2217.2,2444.7,17042.3
Opéra-Comique,1293.5,3720.5,1781.5,5834.5,1566,6008,1442,21646
Théâtre des Italiens,9951,,,9374.1,,8190.6,,27515.7
Odéon,262.25,942,223.25,4148.5,300.5,273.25,236,6112.5
Théâtre-Lyrique,953.5,3899.25,5217.25,1245.5,5211.5,1084.5,13407.5,31019
Vaudeville,1533.5,1879,1478.5,1074.5,1443.5,1226,1304.5,9939.5
Théâtre des Variétés,1565.5,2936.5,1728.5,1865.5,1610.5,1784,1554,13044.5
Gymnase,1711.25,2828.75,1549.75,1662.25,1103,1027.5,1326.5,11209
Palais-Royal,2102,2310.75,1713.25,1205.5,1608.75,1211.5,1203.25,11355
Porte Saint-Martin,,,,,,,,0
Gaîté,1441.4,3230.74,1869.55,1545.9,1376.65,1327.25,1500.9,12292.39
Ambigu-Comique,1531.75,3413,1554.4,1633.55,1452.4,1325.9,1124.5,12035.5
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,840.45,1026.05,1122.5,901.9,871.15,695.2,842.1,6299.35
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,1560,1865,1491,1430,1603,1575,1436.5,10960.5
Folies Nouvelles,186.75,,602,730.75,530,,,2049.5
Total,26534.15,32060.94,23172.65,34118.25,21139.65,27672.65,27822.45,192520.74
