Théâtres,1859-10-08,1859-10-09,1859-10-10,1859-10-11,1859-10-12,1859-10-13,1859-10-14,8 - 14 oct.
Opéra,,,,,,,,
Théâtre Français,1649.9,3549.9,2437.7,2881.4,2707.8,2290.7,2667,18184.4
Opéra-Comique,3024,2924,3038.5,2223,2859.5,1548,2434,18051
Théâtre des Italiens,6382.6,,,5682,,6750,,18814.6
Odéon,467.5,2471.5,851.25,604.75,653,763.25,638.75,6450
Théâtre-Lyrique,2587,3772.75,3002,1900.75,1035,2116.75,3416.75,17831
Vaudeville,1803.5,2010.5,1953.2,1686,3886,2165.5,1460.5,14965.2
Théâtre des Variétés,1300.5,2467.5,1533,1400,1054.5,1513.5,1055,10324
Gymnase,1530.25,2051,1668.25,1694.25,1646.5,2031.5,1911.75,12533.5
Palais-Royal,1906.75,2505.25,2103.75,1925,1902,1902.5,1315.75,13561
Porte Saint-Martin,1111,3252.5,1675.99,1570.75,885.25,,,8495.49
Gaîté,1775.9,2787.25,2402.2,2065.4,1720.9,2169.5,2187.05,15108.2
Ambigu-Comique,2582.5,3710.5,2411.5,721.65,2279.4,2704.25,2643.4,17053.2
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,629.05,1893.2,1069.95,845.6,535,822.2,803.4,6598.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,950,864.5,840,1182.5,673.5,706,1125.5,6342
Folies Nouvelles,,,,,,,,
Total,27700.45,34260.35,24987.29,26383.05,21838.35,27483.65,21658.85,184311.99
