Théâtres,1859-12-10,1859-12-11,1859-12-12,1859-12-13,1859-12-114,1859-12-15,1859-12-16,10 - 16 déc.
Opéra,,,,,,,,
Théâtre Français,4240.4,2909,4116.5,3436.7,3944,2232.7,4230.7,25110
Opéra-Comique,2119.25,4314,1597.5,1183.5,3959,1274,3237.5,17684.75
Théâtre des Italiens,9275.7,3614,7172.5,,,5916,,25978.2
Odéon,579,3024.5,1756.25,1549.59,1115.75,1355.25,1207.5,10587.84
Théâtre-Lyrique,2842.5,3041.75,4626.5,2770.75,4168.25,1352,4589.75,23391.5
Vaudeville,1299.5,2821.5,1153,978.5,1076,1434,1913,10675.5
Théâtre des Variétés,1495.5,2386.5,1128,1104,2236,,,8350
Gymnase,3836,4106.5,4150,4098.75,3904.5,3997,3811.75,27904.5
Palais-Royal,1415.2,2416.5,1115,1511.5,1209.2,1632.5,1310.25,10610.15
Porte Saint-Martin,2059.25,3650.25,2380.25,2202,1587,1715.25,1889,15483
Gaîté,1776.5,3455.5,2228.2,2212.65,1918.75,2000.3,1700.5,15292.4
Ambigu-Comique,1104.75,3014.5,1708,1108.25,,,,6935.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,322.7,1842,805.05,417.1,,,,3386.85
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1421,1628.5,1317.5,1277,1031,1417,1368.5,9460.5
Folies Nouvelles,,,,,,,,
Total,33787.25,42225,35254.25,23850.29,26149.45,24326,25258.45,210850.69
