Théâtres,1859-08-13,1859-08-14,1859-08-15,1859-08-16,1859-08-17,1859-08-18,1859-08-19,13 - 19 août
Opéra,,,,,,,,
Théâtre Français,1137.5,1613.5,,1358.4,2048.9,1727.4,1506.2,9391.9
Opéra-Comique,1190.5,,,3830.5,2968,3971.5,1123,13083.5
Théâtre des Italiens,,,,,,,,0
Odéon,,,,,,,,0
Théâtre-Lyrique,,,,,,,,0
Vaudeville,374.5,763,,727,1376,1002.5,554,4797
Théâtre des Variétés,,,,1204.5,1885,1155,1258.5,5503
Gymnase,244,1064.25,,768.75,1569.75,871,,4517.75
Palais-Royal,851.4,1525.4,,1215.45,2007.2,809,,6408.45
Porte Saint-Martin,,2945,,2836.5,3006.5,1761.5,1547,12096.5
Gaîté,896,2314,,2075.15,2191.4,1532.55,1410.5,10419.6
Ambigu-Comique,,1419.5,,1778.4,1804.75,,,5002.65
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,191.2,1174.8,,722.9,759,545.65,459.15,3852.7
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,562,1150.5,450,832,927.5,763,646,5331
Folies Nouvelles,,,,,,,,0
Total,5447.1,13969.95,450,17349.55,17576,14139.1,8504.35,80404.05
