Théâtres,1859-05-07,1859-05-08,1859-05-09,1859-05-10,1859-05-11,1859-05-12,1859-05-13,7 - 13 mai
Opéra,,,,,,,,
Théâtre Français,2324.5,2163.5,1936.5,1551.2,1703.8,1578.7,2142.2,13400.4
Opéra-Comique,6119,2269.5,2661,6387.5,2768,6325,751,27281
Théâtre des Italiens,,,,,,,,
Odéon,336.5,884.25,589.25,391.25,330.25,399.25,,2930.75
Théâtre-Lyrique,666.5,1234.25,3904.25,2722.5,1332,3903.25,2857.25,16620
Vaudeville,2142,517,2111,2031,,1726,2004,10531
Théâtre des Variétés,725,1078.5,697.5,569,906.5,661.5,618,5256
Gymnase,1115.5,977.5,719,591,991,504.25,875.25,5773.5
Palais-Royal,2214,1818,1121,1085,1223.25,1071.75,1232.95,9765.95
Porte Saint-Martin,,,,,,,,
Gaîté,754.65,1482.65,950.4,713.4,741,720.3,,5362.4
Ambigu-Comique,665.75,1400,843.9,481.25,615,776.25,883,5665.15
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,298.15,857.4,430.1,340.55,399,,,2325.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,934,944.5,1548.5,1098,1144,1226.5,1040.5,7936
Folies Nouvelles,,,,,,,,
Total,18295.55,15627.05,17512.4,17961.65,12153.8,18892.75,12404.15,112847.35
