Théâtres,1859-01-01,1859-01-02,1859-01-03,1859-01-04,1859-01-05,1859-01-06,1859-01-07,1 - 7 jan.
Opéra,,,,,,,,
Théâtre Français,4545,4502.2,2578.6,2233.2,2461.5,1680.5,2036.6,20037.6
Opéra-Comique,3854.5,5874.25,3631.5,4884.5,2157.5,3658.5,1842,25902.75
Théâtre des Italiens,7452,,,7452,2825,5281.9,,23010.9
Odéon,1801.25,2413,1419.5,1085,671.5,515.25,564.75,8470.25
Théâtre-Lyrique,5023,3736.5,4942.75,4748.5,1657.25,4486.5,1030.5,25625
Vaudeville,3291.5,3679,3209,3257.5,2993,2570,2681.5,21681.5
Théâtre des Variétés,4014.5,4147.5,2903,,3829,3505.5,3557,21956.5
Gymnase,, ,,,,,,
Palais-Royal,2710,3303.5,2705,2200,1703.75,1704.5,1713,16039.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,3824.3,4109.05,3715.75,3602.25,3225.4,3064.8,2604.8,24146.35
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2154.1,2272.1,2238.75,1937.1,1751.15,1508.75,1519.75,13381.7
Délassement Comiques,1254.1,1422.25,1305.75,1176.3,1124.65,1124.65,1124.65,8532.35
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,1025.75,1816.75,1200,745.25,534.5,,477.25,5799.5
Total ,40950,37276.1,29849.6,33321.6,24934.2,29100.85,19151.8,214584.15
