Théâtres,1859-02-05,1859-02-06,1859-02-07,1859-02-08,1859-02-09,1859-02-10,1859-02-11,5 - 11 fév.
Opéra,,,,,,,,
Théâtre Français,2054.5,4302.5,2409.1,2868.6,1691.9,2358.5,3559.4,19244.5
Opéra-Comique,3010.5,4858,3037.25,2924,2464.25,2723.5,3350.5,22368
Théâtre des Italiens,7081.8,4435,,6026.3,11677,8139,,37359.1
Odéon,4905.5,3017,729.25,,646.25,1375.5,1337.25,12010.75
Théâtre-Lyrique,1622.5,3521.75,1419.5,,1692.5,,1429,9685.25
Vaudeville,2157.5,2945,2139,2473,2461.5,1830.5,2426,16432.5
Théâtre des Variétés,2288,3278,2246.5,2132,2127.5,1934,1714.5,15720.5
Gymnase,,,,,,,,
Palais-Royal,2807.75,3509.75,3236,3204,3205,3110,3125.5,22198
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,1542.4,3335.15,1601.25,1712.75,1543.3,1634.9,1404.5,12774.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1184.2,2278.35,1727.05,1679.45,1093.55,1135.2,1230.55,10328.35
Délassement Comiques,1184.2,1238.85,807.4,978.25,,,,4208.7
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1910.5,2032,1990,2042.5,2010.5,1822.5,2007.5,13815.5
Folies Nouvelles,381.25,1235.5,311.5,458.75,,297,1051.25,3735.25
Total,32130.6,39986.85,21653.8,26499.6,30613.25,26360.6,22635.95,199880.65
