Théâtres,1859-11-12,1859-11-13,1859-11-14,1859-11-15,1859-11-16,1859-11-17,1859-11-18,12 - 18 nov.
Opéra,,,,,,,,
Théâtre Français,4392.2,3873.8,4190.3,4039.8,2823.8,4489,1842.6,25651.5
Opéra-Comique,2587.5,4529,2303,4890.5,1895,4610,2600.5,23415.5
Théâtre des Italiens,7703,,,6811.3,,6015.8,,20530.1
Odéon,1901.75,3606.5,1476.25,1681.5,1626.25,1421.5,2026,13739.75
Théâtre-Lyrique,2004.25,2115.5,1122.5,4667.25,,3754.35,1391.75,15055.6
Vaudeville,1772,2513.5,1942.5,1387.5,1783.5,1396,1426,12221
Théâtre des Variétés,1794.5,3240,1838.5,1710.5,2265.5,1962,1902,14713
Gymnase,1398,2360.5,1269.25,1215,1313.25,1075,,8631
Palais-Royal,2202.7,2105,1610.75,1634.5,1803,1912.25,1615.2,12883.4
Porte Saint-Martin,3024.25,4312.75,3021.75,3139.5,3029.75,2898.75,2909.5,22336.25
Gaîté,2041.15,3608.45,2367.55,2267.5,2140.9,8003.15,2013.55,22442.25
Ambigu-Comique,1305.15,3130.5,1406,1088.5,1079.5,908.75,811.5,9729.9
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,561.20,1941.9,908.4,670.35,604.85,555.15,618.6,5299.25
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,784,,383,,,,1167
Folies Nouvelles,,,,,,,,
Total,32126.45,38121.4,23456.75,35586.7,20365.3,39001.7,19157.2,207815.5
