Théâtres,1859-01-08,1859-01-09,1859-01-10,1859-01-11,1859-01-12,1859-01-13,1859-01-14,8 - 14 jan.
Opéra,,,,,,,,
Théâtre Français,1997,4685.4,2861.4,1533,2197.2,2931.1,1643.8,17848.9
Opéra-Comique,4392,4683,1974.5,3894.25,1816.5,2416,2416,21592.25
Théâtre des Italiens,9151.5,3912,,7128,,6140.8,,26332.3
Odéon,485,1709.25,683,579.75,425,596.25,260.25,4738.5
Théâtre-Lyrique,4857.5,2140,4293.75,3960.75,665.75,4901.25,514.5,21333.5
Vaudeville,2861.5,3554.5,2660.5,2756,3028.5,2678,3036.5,20575.5
Théâtre des Variétés,3593,4002.5,3427.5,,3409,3363,3533.5,21328.5
Gymnase,,,,,,,,
Palais-Royal,1611,2902.5,1801,2005,1604.5,1614,1901.5,13439.5
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,2845.05,3467.5,2757.5,2601,2101.5,2503.3,2601.2,18877.05
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1426.2,1849.55,1336.5,1140.6,9703.6,1136,1030,17622.45
Délassement Comiques,1129.6,1262.6,1105.5,1100.15,1060.75,1123.2,1115.65,7897.45
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,975,448,,1275.75,586.26,624,3909.01
Total,34349.35,35143.8,23349.15,26698.5,27288.05,29989.16,18676.9,195494.91
