Théâtres,1859-01-22,1859-01-23,1859-01-24,1859-01-25,1859-01-26,1859-01-27,1859-01-28,22 - 28 jan.
Opéra,,,,,,,,
Théâtre Français,3033.6,4653.3,1732.6,2815.2,1525.2,1884.7,2658,18302.6
Opéra-Comique,3666.25,4187.5,2365.5,3989,1916.5,3054,2211.5,21390.25
Théâtre des Italiens,7189.5,3853.5,,,6273.8,9547.15,,26863.95
Odéon,513.5,2440.5,1096,595.25,508.75,759.75,529.25,6443
Théâtre-Lyrique,1252.5,2624.25,5098.25,5106,1286.5,5288.75,5140,25796.25
Vaudeville,2820,3227.5,2499.5,2489.5,2515,2309.5,2374,18235
Théâtre des Variétés,3026,3733,2905.5,2734.5,2631,2379.5,2666.5,20076
Gymnase,,,,,,,,
Palais-Royal,1810.75,3222,2009.25,2113.75,2209,1839,1915,15118.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,1802,3031.4,2004.25,1865.25,2027.9,2328.65,1797.25,14856.7
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,584,1623.95,876.6,800.15,692.05,792.7,697.05,6066.5
Délassement Comiques,1010.45,1266.85,1092.3,1067.35,935.3,984.45,995.55,7352.25
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,376,,876.6,495.75,364,2028.26,,4140.61
Total,27084.55,33863.75,22556.35,24071.7,22885,33196.41,20984.1,184641.86
