Théâtres,1859-12-03,1859-12-04,1859-12-05,1859-12-06,1859-12-07,1859-12-08,1859-12-09,3 - 9 déc.
Opéra,,,,,,,,
Théâtre Français,4650.8,4045.6,3931.3,1699.8,4333.2,4165.9,2085,24911.6
Opéra-Comique,1969.5,3701.5,940.5,1501.75,1811.75,3121.75,1587.5,14634.25
Théâtre des Italiens,6286,2465,,5590.5,,4945.35,,19286.85
Odéon,2102.5,3550,1738,1528.25,1603,1698.5,1859,14079.25
Théâtre-Lyrique,3846.75,3066.75,4737.5,2847.75,4747.75,2768.75,4921.75,26937
Vaudeville,1732.5,3810,1648.5,1467,1398.5,1273.5,1180,12510
Théâtre des Variétés,4153,2771,1013.5,743.5,1478,1479,1520.5,13158.5
Gymnase,3805.75,1667.5,3972.5,3977,4032.5,4003.5,4082,25540.75
Palais-Royal,1912,2910.25,1410.5,1331,1329.75,1230.25,3002.5,13126.25
Porte Saint-Martin,2918,4448.75,2571,2204.25,2452,3034,2449.15,20077.15
Gaîté,2085.7,3549.95,2411.9,2041.75,2331.4,2392.5,2284.65,17097.85
Ambigu-Comique,1208,3577.25,1741.25,,1231.2,1314.25,1407.75,10479.7
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,614,2001,1044.95,490.75,541.85,541,543.9,5777.45
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1952.5,2027,1248.5,1504,1400.5,1492,1445,11069.5
Folies Nouvelles,,,,,,,,
Total,39237,43591.55,28409.9,26927.3,28691.4,33460.25,28368.7,228686.1
