Théâtres,1859-05-14,1859-05-15,1859-05-16,1859-05-17,1859-05-18,1859-05-19,1859-05-20,14 - 20 mai
Opéra,,,,,,,,
Théâtre Français,3212,4316.4,2080.6,1947.5,2457.8,3222.1,3045.3,20281.7
Opéra-Comique,6431,2524.5,3013.75,6432.5,3196,6318,2882.75,30798.5
Théâtre des Italiens,,,,,,,,
Odéon,241.5,1297.15,520.5,594.75,555.75,526.25,561.5,4297.4
Théâtre-Lyrique,3601.25,2492.5,3142,4015.75,3356.5,4123,3909.25,24640.25
Vaudeville,2255.5,3605.5,1953.5,2407.5,,2110.5,2049,14381.5
Théâtre des Variétés,773.5,2341.5,800.5,891,1100.5,1127.5,1727.5,8762
Gymnase,765.25,2704.25,909,1011.5,1033.5,1127,,7550.5
Palais-Royal,1353.5,3003.5,1425,1315.45,2047.2,1410.5,1643.7,12198.85
Porte Saint-Martin,,,,,,,,
Gaîté,1291.15,2943.9,1524.3,1548.95,1502,1450,1304,11564.3
Ambigu-Comique,653.75,2500,1050,988.5,900.05,,954.75,7047.05
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1373.15,2059.2,1282.95,1055.65,817.7,1068.45,988.25,8645.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1336.5,1930.5,1262,1541.5,1365.5,1450.5,1488,10374.5
Folies Nouvelles,,,,,,,,
Total,23288.05,31718.9,18964.1,23750.55,18332.5,23933.8,20554,160541.9
