Théâtres,1859-07-16,1859-07-17,1859-07-18,1859-07-19,1859-07-20,1859-07-21,1859-07-22,16 - 22  juil.
Opéra,,,,,,,,
Théâtre Français,167.6,479.6,427,276.3,193,,745.7,2289.2
Opéra-Comique,573,,459.5,445,225.5,263,638,2604
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,211,,270,287,,122,604.5,1494.5
Théâtre des Variétés,191,333,154,82.5,133.5,104.5,586,1584.5
Gymnase,190,225,123.5,186,116.5,141.75,724.75,1707.5
Palais-Royal,178.6,310.6,168.6,160.1,142.1,201.4,815.4,1976.8
Porte Saint-Martin,,,,,,,,
Gaîté,532,250.25,282.75,277.75,215.25,216,637,2411
Ambigu-Comique,561.05,1075.05,631.5,570.25,488.75,440.75,1178.25,4945.6
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,112.6,276.6,164.05,,,590.3,751,1894.55
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,254,292.5,219.5,229.5,,,,995.5
Folies Nouvelles,,,,,,,,
Total,2970.85,3242.6,2900.4,2514.4,1514.6,2079.7,6680.6,21903.15
