Théâtres,1859-06-18,1859-06-19,1859-06-20,1859-06-21,1859-06-22,1859-06-23,1859-06-24,18 - 24 juin.
Opéra,,,,,,,,
Théâtre Français,1340.1,3700.3,1392,1624.2,2171.2,1077.5,880.8,12186.1
Opéra-Comique,1349.5,3202,1132.5,734.75,1253.5,952.5,469.5,9094.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,1545,1692,572.75,1947.75,325.5,1489.25,420.5,7992.75
Vaudeville,984,2840,1278,1602.5,1419.5,693.5,668,9485.5
Théâtre des Variétés,323,1820,689.5,786.5,718,495,438.5,5270.5
Gymnase,431.5,1405,407.75,479,615,546.75,441.5,4326.5
Palais-Royal,720,2052,1005.2,1106.4,604,579.15,520.4,6587.15
Porte Saint-Martin,,,,,,,,
Gaîté,894.5,2215.05,734.9,1201.75,970.65,774,872.5,7663.35
Ambigu-Comique,1507.5,3636.25,2519,2704.75,2108.05,1919.15,1762.75,16157.45
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,329.8,1769.45,486.6,587.5,499.3,313.4,312.4,4298.45
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,522.5,943,596,415,685.5,682,447,4291
Folies Nouvelles,,,,,,,,
Total,9947.4,25275.05,10814.2,13190.1,11370.2,9522.2,7233.85,87353
