Théâtres,1859-04-02,1859-04-03,1859-04-04,1859-04-05,1859-04-06,1859-04-07,1859-04-08,2 - 8 avr.
Opéra,,,,,,,,
Théâtre Français,2177.1,3686.5,1673.6,1296.1,1936.2,2167.2,3623.9,16560.6
Opéra-Comique,2785.5,2545.5,2484.5,1721,3569,784.25,4688.5,18578.25
Théâtre des Italiens,9459.5,7366.5,,8736,,10458.6,,36020.6
Odéon,383.75,1177.75,476,397.5,359.5,219,289.25,3302.75
Théâtre-Lyrique,1811.5,1757,5205,1121,994.5,1152.75,1276.25,13318
Vaudeville,1691.5,1453.5,3938,1291.5,949,626.5,1942.5,11892.5
Théâtre des Variétés,1448,1901,1560,1250.5,1298,882,1494.5,9834
Gymnase,2072.5,1783.75,1347.75,1273,1359.5,1305.5,1535.25,10677.25
Palais-Royal,1604.75,1476.5,1506,1620,1309.5,904,1602,10022.75
Porte Saint-Martin,,,,,,,,
Gaîté,2508.15,3067.9,2071.15,1843.25,1704.15,1151.3,2158.25,14504.15
Ambigu-Comique,2402,1313.75,1943.3,2057.55,1600.15,1301.4,2304.65,12922.8
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1226.85,1871.5,1102.3,1137.4,905.8,600.15,1026.95,7870.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1836.5,1620,1594,1563,1654,1269.5,1647.5,11184.5
Folies Nouvelles,540,,,,379.75,,293.25,1213
Total,31947.6,31021.15,24901.6,25307.8,18019.05,22822.15,23882.75,177902.1
