Théâtres,1859-01-15,1859-01-16,1859-01-17,1859-01-18,1859-01-19,1859-01-20,1859-01-21,15 - 21 jan.
Opéra,,,,,,,,
Théâtre Français,3750.3,3765.7,2566.6,3104.2,1750.4,2447.8,1589.3,18974.3
Opéra-Comique,3808.5,4451,1202.5,3587.5,1318,3549.5,998.5,18915.5
Théâtre des Italiens,7039,5148,,6839.4,,8630.8,,27657.2
Odéon,751,1509.25,441.25,644,571,740.5,4634.5,9291.5
Théâtre-Lyrique,5089.5,2656.25,4459.25,4681.25,870.75,1320,5067.25,24144.25
Vaudeville,2834.5,3425.5,2699.5,2524.5,2785.5,2479,8714.5,25463
Théâtre des Variétés,3363.5,4003,3167.5,2935,3018,3184,2921,22592
Gymnase,,,,,,,,
Palais-Royal,1701.5,2608.75,1414.25,1566,2005,1825.25,4226.5,15347.25
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,2336.8,3459.3,2420.2,2304.8,2144.25,2304.15,2300.15,17269.65
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1001.1,2001.25,1117.4,1033.65,963.8,1037.6,1047.4,8202.2
Délassement Comiques,1039.45,1362.15,1162.95,1149.05,1106.05,1115.25,1116.25,8051.15
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,448.75,1506,946,453,,640.75,634,4628.5
Total,33163.9,35896.15,21597.4,30822.35,16532.75,29274.6,33249.35,200536.5
