Théâtres,1859-10-01,1859-10-02,1859-10-03,1859-10-04,1859-10-05,1859-10-06,1859-10-07,1 - 7 oct.
Opéra,,,,,,,,
Théâtre Français,2091.4,3580.8,1674,3157.6,1830.4,2041.8,3256.4,17632.4
Opéra-Comique,3113,2209,1829,2935.99,2233,2493,1392,16204.99
Théâtre des Italiens,9253.25,,,5334,,4639.7,,19226.95
Odéon,357,1898.25,352.25,501.5,446.25,448.75,500.75,4504.75
Théâtre-Lyrique,816.5,2107.5,3232.75,632.5,2550,777.25,3177.25,13293.75
Vaudeville,1059.5,2463,1223,1311,1042.5,1231,1186,9516
Théâtre des Variétés,1296.5,2127.5,1183,1127,1089,1090.5,1472,9385.5
Gymnase,969.75,1191.75,1053,1084.5,569.5,868.25,1018,6754.75
Palais-Royal,1411.75,2315.26,1706.75,1302.75,1416.75,1115,1732.75,11001.01
Porte Saint-Martin,1186,3041.25,1599,1108,1268.75,1144.25,1191.5,10538.75
Gaîté,2000.25,3001.4,,1866.25,1734.75,1771.75,1628.5,12002.9
Ambigu-Comique,1200.75,2418.75,2879.4,2576.25,2615.15,2205,2847.65,16742.95
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,940.75,1927.5,669.95,1703.4,617.6,559.3,676,7094.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,651.5,975,677,717,471,714.5,788.5,4994.5
Folies Nouvelles,,,,,,,,
Total,26347.9,29256.96,18079.1,25357.74,17884.65,21100.05,20867.3,158893.7
