Théâtres,1859-11-19,1859-11-20,1859-11-21,1859-11-22,1859-11-23,1859-11-24,1859-11-25,19 - 25 nov.
Opéra,,,,,,,,
Théâtre Français,4438.6,3187.8,4240.4,4275.5,1749.5,2369.8,4420,24681.6
Opéra-Comique,4178.5,3168.5,1218.5,3685.5,2291,1220,1492.5,17254.5
Théâtre des Italiens,7360.25,,,7113.3,,6205.5,,20679.05
Odéon,1638.5,3301.75,1534.75,1497.5,1797.25,1835,1870,13474.75
Théâtre-Lyrique,3358.75,".3.235,25",4002,3225,4837.6,3470,3529,22422.35
Vaudeville,1475,2260,1335.5,1492,1446,1433.5,1518,10960
Théâtre des Variétés,1817.5,2974,1335.5,1390,1271.5,1520,1686,11994.5
Gymnase,1258.25,2232,1080.75,902.25,1269.5,1159.75,973.5,8876
Palais-Royal,1604.75,2701.25,1839.25,1337.5,1313.75,1215.7,1413.25,11425.45
Porte Saint-Martin,2579.75,4422,3003,2631.75,2703.75,3133.71,3009.25,21483.21
Gaîté,1889.25,3522.4,2536.9,2334.2,2184.9,2503.9,,14971.55
Ambigu-Comique,901.75,2707.5,951.75,863.75,879.5,1269,925,8498.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,550.5,1901.4,953.6,801.2,664.9,1791.05,820.76,7483.41
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1287.5,2199.5,1981.5,1986,1870,1941.5,"1,936,50",11266
Folies Nouvelles,,,,,,,,
Total,34338.85,34578.1,26013.4,33535.45,24279.15,31068.41,21657.26,205470.62
