Théâtres,1859-12-24,1859-12-25,1859-12-26,1859-12-27,1859-12-28,1859-12-29,1859-12-30,24 - 30 déc.
Opéra,,,,,,,,
Théâtre Français,4149.4,3230.4,1427.89,3891.6,3800.6,10942.7,3820.3,31262.89
Opéra-Comique,1143.5,2947,890.5,1731,1342,4677.75,1107,13838.75
Théâtre des Italiens,7110,,,5681.15,,11370.55,,24161.7
Odéon,824,1797.5,1028.25,,583,3279.75,253.75,7766.25
Théâtre-Lyrique,1900.25,1362.25,3261.5,2024.5,3308.75,11377.5,3051.75,26286.5
Vaudeville,1358,1847,1115.5,1008,737,5869.5,1055,12990
Théâtre des Variétés,3423.5,3877.5,3366.5,3543,3328.5,13174.5,3162.5,33876
Gymnase,3363,3123.5,3227.25,3461.25,3018.75,13351,3012.5,32557.25
Palais-Royal,1714.75,3105.25,2225,2311.5,1935.25,1667.15,1810,14768.9
Porte Saint-Martin,3721,5296,4839.75,5078,4874.25,3201.75,4668,31678.75
Gaîté,939.5,2191.4,1577.05,1752.75,1244.4,5846.95,1034.5,14586.55
Ambigu-Comique,,,,,,1489.25,,1489.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1364.1,2182.85,1801.75,1719.55,1411.8,4405.4,1481.6,14367.05
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,966.5,1144.5,965,888.5,659.5,1654,954.5,7232.5
Folies Nouvelles,,,,,,,,
Total,31977.5,32105.15,25725.94,33090.8,26243.8,92307.75,25411.4,266862.34
