Théâtres,1859-09-17,1859-09-18,1859-09-19,1859-09-20,1859-09-21,1859-09-22,1859-09-23,17 - 23 sep.
Opéra,,,,,,,,
Théâtre Français,1884.6,2290.7,1234.8,2237.7,1827.4,2235.7,1616,13326.9
Opéra-Comique,3071.25,3153.5,2521,1674.5,3267,3725,3129.5,20541.75
Théâtre des Italiens,,,,,,,,
Odéon,641.75,1493.75,599.25,493,356.25,381,457.25,4422.25
Théâtre-Lyrique,3012.75,2654.5,768.76,1223.75,1426,1057.75,1935.25,12078.76
Vaudeville,1920,3206.5,1876,1820.5,1501.5,2308,1822,14454.5
Théâtre des Variétés,3012.75,1928.5,1269,1228,1107,1658,1070.5,11273.75
Gymnase,1207.25,2539.75,1421.25,1528.75,1345,1817.75,1551,11410.75
Palais-Royal,1607.7,2513,2233.5,1743.75,2214.75,1905.75,1609.25,13827.7
Porte Saint-Martin,1254.25,3357,1705.5,1847,1196,2148.5,1201.75,12710
Gaîté,1681.15,2937.75,1810.9,1925.15,1686.25,2360.05,2188.9,14590.15
Ambigu-Comique,,3001.75,1717,1658.05,1408,1428.65,1633.25,10846.7
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,750,1958.05,803.7,739,680.25,735,647.55,6313.55
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1036.5,1204,833.5,1136,1131.5,1340,848,7529.5
Folies Nouvelles,,,,,,,,
Total,21079.95,32238.75,18794.16,19255.15,19146.9,23101.15,19710.2,153326.26
