Théâtres,1859-07-23,1859-07-24,1859-07-25,1859-07-26,1859-07-27,1859-07-28,1859-07-29,23 - 29  juil.
Opéra,,,,,,,,
Théâtre Français,565,1614.7,377,759.4,351.4,563.5,362.8,4593.8
Opéra-Comique,645,2202.75,573.5,545,313.5,655.5,358,5293.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,492.5,907.5,314,380.5,226,170,853.5,3344
Théâtre des Variétés,,1105,379.5,518,352.5,313.5,283,2951.5
Gymnase,645.25,1449.75,389.25,459.25,202.5,405,209.25,3760.25
Palais-Royal,904.1,1020,424.9,310.4,346.6,316.1,203.1,3525.2
Porte Saint-Martin,,,,,,,,
Gaîté,407.75,1577.05,558.25,432.5,439.75,400.4,300.9,4116.6
Ambigu-Comique,,3007.05,1100.15,,,,1226,5333.2
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,361,1435.1,764.15,,386.7,408.75,255.95,3611.65
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,866.5,353,347,390,310.5,327,2594
Folies Nouvelles,,,,,,,,
Total,4020.6,15185.4,5233.7,3752.05,3008.95,3543.25,4379.5,39123.45
