Théâtres,1859-10-15,1859-10-16,1859-10-17,1859-10-18,1859-10-19,1859-10-20,1859-10-21,15 - 21 oct.
Opéra,,,,,,,,
Théâtre Français,2043.5,3517.8,2596.7,3108.4,1569.4,3218.7,2331.7,18386.2
Opéra-Comique,5380,4424,5179,2522,5246,2598,5271.75,30620.75
Théâtre des Italiens,5650.6,,,5623.35,,4201.8,,15475.75
Odéon,623,1564.75,782.25,718,971.25,899.75,713.75,6272.75
Théâtre-Lyrique,2109.75,3417.5,2082.25,1583,2772.5,1677.75,,13642.75
Vaudeville,1106.5,2380.5,,796.5,2752,2823,3070.5,12929
Théâtre des Variétés,1174.5,2635,1217,1715,1139,1307.5,1096.5,10284.5
Gymnase,1782.25,2871.25,2141.5,1954.5,2085.75,1586.25,1614,14035.5
Palais-Royal,1808.2,2620,1316,1705,1433,3094,1811.25,13787.45
Porte Saint-Martin,2857,5517.25,4500,4903,4715,4730.75,4514,31737
Gaîté,1510.65,3160.8,2110.7,2002.1,1731.45,1889.25,1628.75,14033.7
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,544.75,2001.2,801.6,587.5,685.7,723.5,691.2,6035.45
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1010,1538.5,840,938,963.5,935.5,749,6974.5
Folies Nouvelles,,,,,,,,
Total,27600.7,35648.55,23567,28156.35,26064.55,29685.75,23492.4,194215.3
