Théâtres,1859-02-19,1859-02-20,1859-02-21,1859-02-22,1859-02-23,1859-02-24,1859-02-25,19 - 25 fév.
Opéra,,,,,,,,
Théâtre Français,3482.7,4000.6,2821.5,2422.9,2602.5,2687.9,3366.7,21384.8
Opéra-Comique,4031.5,5108.5,2730,3120.5,2626.5,2984,2918,23519
Théâtre des Italiens,9620.8,2828.5,17510,8686.4,,6783.1,,45428.8
Odéon,508,3051.75,1275.5,806.75,1124.25,828,1032,8626.25
Théâtre-Lyrique,,,3197.25,1519.25,,,1080.75,5797.25
Vaudeville,2037.5,2784,2370,2321.5,2466.5,2601,2430,17010.5
Théâtre des Variétés,1565.5,3254.5,1506.5,1029,1338,1507.5,1631.5,11832.5
Gymnase,,,,,,,,
Palais-Royal,3102.25,3505,3007.25,2915.25,2717,2710.5,3002.5,20959.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,1434.5,3036,1204,1700.75,,,1630.65,9005.9
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1305.1,2146.7,1447.05,1322.75,1388,1264.4,1204.45,10078.45
Délassement Comiques,654.05,,,,626.7,,,1280.75
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2000,2184,2001,2104.5,2069.5,2071.5,2024,14454.5
Folies Nouvelles,766.22,,743.75,753,717.75,736.75,665.75,4383.22
Total,30508.12,31899.55,39813.8,28702.55,17676.7,24174.65,20986.3,193761.67
