Théâtres,1859-03-05,1859-03-06,1859-03-07,1859-03-08,1859-03-09,1859-03-10,1859-03-11,5 - 11 mar.
Opéra,,,,,,,,
Théâtre Français,4697.6,4631.1,3648.3,5678.2,2322.7,2364.6,3104.9,26447.4
Opéra-Comique,4663,6092,5069.5,6260.5,1614.5,2497,2388,28584.5
Théâtre des Italiens,8633.7,,9224,9004.65,,,,26862.35
Odéon,671,2252,1487.25,2145.5,642.5,537.35,753.25,8488.85
Théâtre-Lyrique,2647.25,3040.25,5178,4004.25,1401.25,3488.25,878.25,20637.5
Vaudeville,2846,2682.5,3064,3608,1433.5,1868,2005.5,17507.5
Théâtre des Variétés,2534,3096,2827.5,4566,1974,2223,1830,19050.5
Gymnase,,,,,,,,
Palais-Royal,3101,3115.5,3797.25,3623.75,2101,2304,2205.5,20248
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,2600,2702.55,3463.65,1509.25,1961.8,2516.25,14753.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1364.3,2011.9,1557.95,2104.4,1234.96,1087.4,949.47,10310.38
Délassement Comiques,739.25,939.7,682.85,1149.25,642.55,583.85,,4737.45
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2252.5,2240.5,2306.5,2386.5,2039.5,2014,,13239.5
Folies Nouvelles,1585.75,1606,988,1725,555.75,663.25,687,7810.75
Total,35735.35,34307.45,42533.65,49719.65,17471.46,21592.5,17318.12,218678.18
