Théâtres,1859-01-29,1859-01-30,1859-01-31,1859-02-01,1859-02-02,1859-02-03,1859-02-04,29 - 31 jan.,1 - 4 fév.
Opéra,,,,,,,,,
Théâtre Français,4703.1,3182.4,2230.3,2334.1,2054.5,2100.1,2184.9,10115.8,8673.6
Opéra-Comique,4812,5287,1949.5,3523,3427.5,3337.5,3309,12048.5,13597
Théâtre des Italiens,9248.95,4341,,8531,,6426,,13589.95,14957
Odéon,2090,2119.75,834.25,891.75,477.5,744.75,432.5,5044,2546.5
Théâtre-Lyrique,5197,2464,5170.75,4390.75,1153.75,5135.75,5168.25,12831.75,15848.5
Vaudeville,3177.5,2994,2130,2502.5,2284,2270.5,2215.5,8301.5,9272.5
Théâtre des Variétés,3473,3532,2681,2717.5,2690.5,2518.5,2219,9686,10145.5
Gymnase,,,,,,,,,
Palais-Royal,2505.25,3008.65,1905.25,1534,2118,2502.25,2404.25,7419.15,8558.5
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,2802.65,,1934.5,1926.95,2130,2200.4,1727.15,4737.15,7984.5
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,814.45,1201.55,2613.1,1584.4,1301.45,1429.15,1363.4,4629.1,5678.4
Délassement Comiques,980.2,1272.75,1133.25,1001.75,947,1023.25,969.5,3386.2,3941.5
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,2007.5,1897.5,1972.5,2000,,7877.5
Folies Nouvelles,964,1050.25,827,563.5,393.25,525,578,2841.25,2059.75
Total,40768.1,30453.35,23408.9,33508.7,20874.95,32185.65,24571.45,94630.35,111140.75
