Théâtres,1859-09-24,1859-09-25,1859-09-26,1859-09-27,1859-09-28,1859-10-29,1859-10-30,24 - 30 sep.
Opéra,,,,,,,,
Théâtre Français,1800.6,1756.4,2053.7,2046.6,3885.9,2354,1918.2,15815.4
Opéra-Comique,3282,1269,1926.5,3862,1074.25,3655,3348,18416.75
Théâtre des Italiens,,7,,,,,,7
Odéon,225,1763.5,485.25,471,357.75,470,698.25,4470.75
Théâtre-Lyrique,829.25,2140,1120,3576,846.75,3730.75,898.5,13141.25
Vaudeville,1416,1625,1465,1834,1553.5,1955,1874.5,11723
Théâtre des Variétés,1236,1775,1451.5,1916.5,1932.5,1856,1842.5,12010
Gymnase,1227.75,1013.25,953.5,869.5,944.75,722.5,1082,6813.25
Palais-Royal,1300,1402.5,1018.5,2005.75,1905.25,2506.5,1313.75,11452.25
Porte Saint-Martin,1025.75,1802,1478.75,1777.25,1320.5,1437.25,1386.75,10228.25
Gaîté,1859.25,2315.75,2158.3,2478.5,1939.75,2181.25,2159.7,15092.5
Ambigu-Comique,,2026.3,1628.8,,1409,1421.9,680.75,7166.75
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,505.8,1235.4,741.5,2415.7,545.55,609.1,749.35,6802.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,713,696,555.5,930.5,874.5,622.5,846.5,5238.5
Folies Nouvelles,,,,,,,,
Total,15420.4,20827.1,17036.8,24183.3,18589.95,23521.75,18798.75,138378.05
