Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Zola; La curée; V; passeggiata Parco Monceau; Parc Monceau; 8; 48.879505, 2.309242; jardin publique; Renée, Maxime; inexacte; vécu; droite; réel
Zola; La curée; V; chez Béraud du Châtel; Île Saint-Louis; 4; 48.852084, 2.356917; maison; Béraud, Renée, zia Elisabeth; inexacte; vécu; gauche; fictif
Zola; La curée; V; chez Sidonie Rougon; Faubourg Poissonnière; 10; 48.870917, 2.347113; maison; Sidonie, Renée; inexacte; vécu; droite; fictif
Zola; La curée; V; Théâtre-Italien; salle Ventadour 1 Rue Dalayrac; 2; 48.867603, 2.334862; théâtre; Renée, Maxime; exact; vécu; droite; réel
Zola; La curée; V; chez Aristide; parco Monceau; 8; 48.879505, 2.309242; maison; Renée, Maxime, Aristide; inexacte; vécu; droite; fictif
Zola; La curée; V; ufficio Larsonneau; Rue de Rivoli; 4; 48.857481, 2.351487; bureau; Aristide, Larsonneau; inexacte; vécu; droite; fictif
Zola; La curée; V; chez Aristide; parco Monceau; 8; 48.879505, 2.309242; maison; Renée, Maxime, Céleste; inexacte; vécu; droite; fictif
Zola; La curée; VI; chez Aristide; parco Monceau; 8; 48.879505, 2.309242; maison; Renée, Maxime, Aristide, Toutin-Laroche, de Mareuil, Mignon, Michelin, Charrier, Sidonie, Louise de Mareuil, madame d’Espanet, madame Haffner, Hupel de la Noue, madame de Lauwerens, madame de Meinhold, madame Tessière, contessa Vanska, Céleste, Baptiste, Simpson, barone Gouraud, signor de Mussy, Suzanne, de Saffré; inexacte; vécu; droite; fictif
Zola; La curée; VII; Place de la République; Place de la République; 11; 48.867229, 2.363576; place; Aristide; inexacte; vécu; droite; réel
Zola; La curée; VII; chez Aristide; Avenue Foch; 16; 48.870562, 2.275255; maison; Aristide; inexacte; vécu; droite; fictif
Zola; La curée; VII; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Renée; inexacte; vécu; droite; réel
Zola; La curée; VII; chez Béraud du Châtel; Île Saint-Louis; 4; 48.852084, 2.356917; maison; Renée; inexacte; vécu; gauche; fictif

