Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Zola; Nanà; VIII; chez Satin; rue La Rochefoucauld; 9; 48.877846, 2.334311; maison; Nanà, Satin; inexacte; vécu; droite; fictif
Zola; Nanà; VIII; chez madame Robert; via Mosnier; 8; 48.881784, 2.322387; maison; Nanà, Satin, signora Robert; inexacte; vécu; droite; fictif
Zola; Nanà; VIII; ristorante da Laura; Rue des Martyrs; 18; 48.882346, 2.339686; restaurant; Nanà, Satin, signora Robert; inexacte; vécu; droite; fictif
Zola; Nanà; VIII; chez Nanà e Fontan; rue Véron; 18; 48.884895, 2.335643; maison; Nanà, Fontan; inexacte; vécu; droite; fictif
Zola; Nanà; VIII; marché La Rochefoucauld; rue de La Rochefoucauld; 9; 48.879622, 2.334942; marché; Nanà, Satin; inexacte; vécu; droite; réel
Zola; Nanà; VIII; Bal Bullier; 31 avenue Georges-Bernanos; 5; 48.840475, 2.337716; bal; Nanà, Satin; exact; vécu; gauche; réel
Zola; Nanà; VIII; Birrerie Boulevard Saint-Michel; Boulevard Saint-Michel; 6; 48.850425, 2.342707; rue; Nanà, Satin; inexacte; vécu; gauche; fictif
Zola; Nanà; VIII; rue Notre Dame de Lorette; rue Notre Dame de Lorette; 9; 48.880184, 2.335396; rue; Nanà, Satin; inexacte; vécu; droite; réel
Zola; Nanà; VIII; rue Le Peletier; rue Le Peletier; 9; 48.872242, 2.3383; rue; Nanà, Satin; inexacte; vécu; droite; réel
Zola; Nanà; VIII; Montmartre; Montmartre; 18; 48.886705, 2.341572; rue; Nanà, Satin; inexacte; vécu; droite; réel
Zola; Nanà; VIII; rue Notre Dame de Lorette; rue Notre Dame de Lorette; 9; 48.880184, 2.335396; rue; Nanà, Satin; inexacte; vécu; droite; réel
Zola; Nanà; VIII; rue Bréda; rue Henry-Monnier; 9; 48.879338, 2.337008; rue; Nanà, Satin; inexacte; vécu; droite; réel
Zola; Nanà; VIII; rue Fontaine; rue Rue Pierre-Fontaine; 9; 48.880723, 2.334852; rue; Nanà, Satin; inexacte; vécu; droite; réel
Zola; Nanà; VIII; chez Satin; rue La Rochefoucauld; 9; 48.877846, 2.334311; maison; Nanà, Satin, marchese Chouard; inexacte; vécu; droite; fictif
Zola; Nanà; VIII; Boulevard Poissonnière; Boulevard Poissonnière; 2; 48.870866, 2.346818; rue; Nanà, Satin; inexacte; vécu; droite; réel
Zola; Nanà; VIII; rue Rougemont; rue Rougemont; 9; 48.871195, 2.345766; rue; Nanà, Satin, Prullière; inexacte; vécu; droite; réel
Zola; Nanà; VIII; rue Bergère; rue Bergère; 9; 48.872356, 2.345426; rue; Nanà, Prullière; inexacte; vécu; droite; réel
Zola; Nanà; VIII; Batignolles; Batignolles; 17; 48.884293, 2.320923; rue; Nanà, Labordette; inexacte; vécu; droite; réel
Zola; Nanà; VIII; chez Nanà e Fontan; rue Véron; 18; 48.884895, 2.335643; maison; Nanà, Fontan, donna del Teatro dei Buffi; inexacte; vécu; droite; fictif
Zola; Nanà; VIII; albergo rue Laval; rue Victor-Massé; 9; 48.880777, 2.338426; hôtel; Nanà, Satin; inexacte; vécu; droite; fictif
Zola; Nanà; VIII; chez Lerat; Batignolles; 17; 48.884293, 2.320923; maison; Nanà, signora Lerat, Zoe; inexacte; vécu; droite; fictif
Zola; Nanà; IX; teatro del Varietà; 7 Boulevard Montmartre; 2; 48.871478, 2.342152; théâtre; Nanà, Fauchery, Bordenave, Cossard, Barillot, Bosc, Fontan, Prullière, Rosa Mignon, Carissa, Simona, Labordette, Muffat, Mignon; exact; vécu; droite; réel
Zola; Nanà; X; chez Nanà; avenue de Villiers; 17; 48.883235, 2.306841; maison; Nanà, Zoe, Muffat, Giorgio, Filippo Hugon, conte Vandeuvres; inexacte; vécu; droite; fictif
Zola; Nanà; X; chez Lerat; Batignolles; 17; 48.884293, 2.320923; maison; Nanà, signora Lerat, Luigino; inexacte; vécu; droite; fictif
Zola; Nanà; X; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Nanà; inexacte; vécu; droite; réel
Zola; Nanà; X; Maison d’or; 20 Boulevard des Italiens; 9; 48.871878, 2.336879; restaurant; Nanà; exact; vécu; droite; réel
Zola; Nanà; X; Café Anglais; 13 Boulevard des Italiens; 2; 48.871363, 2.337518; café; Nanà; exact; vécu; droite; réel
Zola; Nanà; X; Bal Mabille; 49 Avenue Montaigne; 8; 48.867762, 2.307305; bal; Nanà; exact; vécu; droite; réel
Zola; Nanà; X; rue Montmartre; rue Montmartre; 2; 48.870153, 2.342723; rue; Nanà, Satin; inexacte; vécu; droite; réel
