Théâtres,1865-09-17,1865-09-18,1865-09-19,1865-09-20,1865-09-21,1865-09-22,1865-09-23,17 - 23 sept.
Opéra,,10229.95,,10204.62,,10773.08,,31207.65
Théâtre Français,876.5,999,1385.5,886.5,1137,1331,1449.5,8065
Opéra-Comique,1916.5,1675,1957.5,1475,2991.5,2233.5,2085,14334
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,1305.1,2419.1,932.6,1921.1,3606.1,908.1,4005.6,15097.7
Vaudeville,,,,,,,,
Théâtre des Variétés,982.5,1124.5,1089,1183,1502.5,1396,1392,8669.5
Gymnase,767.25,513.75,523.5,468.5,409,556.5,699.25,3937.75
Palais-Royal,855,1108,1310,1004.25,1351.75,1202.75,,6831.75
Porte Saint-Martin,3536.75,3986,4296,4611.5,4621,4608.5,5177,30836.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,10239.6,22055.3,11494.1,21754.47,15618.85,23009.43,14808.35,118980.1
