Théâtres,1865-11-12,1865-11-13,1865-11-14,1865-11-15,1865-11-16,1865-11-17,1865-11-18,12 - 17 nov.
Opéra,8088.8,5870.4,,9643.01,,8610.28,,32212.49
Théâtre Français,4746.5,1186,3071.5,2642,2353,1846,2842.5,18687.5
Opéra-Comique,5572.5,1976,2094,1742,3058,2117,2637.5,19197
Théâtre des Italiens,,2606,4908,,3374,,6201,17089
Odéon,1978.25,805.75,602.75,711.75,610,381.25,778.75,5868.5
Théâtre-Lyrique,4869.6,731.1,5016.6,1577.1,4472.6,1205.1,6055.6,23927.7
Vaudeville,,,,,,,,
Théâtre des Variétés,5621.5,1587,1467,1494.5,"1,581,00",1830,1689.5,13689.5
Gymnase,2852.5,1055.5,1368,1264.75,1316.25,1362.75,1495,10714.75
Palais-Royal,3047.25,2268.75,2022,1910.5,1713.25,2115.25,,13077
Porte Saint-Martin,4829.5,3408.75,4419.75,3963.25,3701.5,3265.5,3875,27463.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,41606.4,21495.25,24969.6,24948.86,20598.6,22733.13,25574.85,181926.69
