An 1865 - Mai,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,33127.18,35422.54,36162.29,31599.83,23365.95,,159677.79
Théâtre Français,21213.5,20367.5,27009.5,21075,10707.5,,100373
Opéra-Comique,16865.5,24863.25,25747.25,20651.5,6756.75,,94884.25
Théâtre des Italiens,21609,,,,,,21609
Odéon,2429,3089,3571,5527.5,2079.75,,16696.25
Théâtre-Lyrique,23553.1,28163.45,27564.45,18792.6,10803.4,,108877
Vaudeville,,,,,,,
Théâtre des Variétés,14540,15721,15104,15605.5,9240.5,,70211
Gymnase,15617.5,14177,16397.5,13008.25,5660,,64860.25
Palais-Royal,11939.75,10261.75,8542,7537,2268.25,,40548.75
Porte Saint-Martin,38623.75,42281.5,43679.75,36338.5,15612.75,,176536.25
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,199518.28,194346.99,203777.74,170135.68,86494.85,,854273.54
