Théâtres,1865-07-02,1865-07-03,1865-07-04,1865-07-05,1865-07-06,1865-07-07,1865-07-08,2 - 8 juil.
Opéra,,9803.96,,8070.13,,5284.17,,23158.26
Théâtre Français,1633,2858,2152.5,859,1135,675.5,2057,11370
Opéra-Comique,3363.5,1445,1167.5,845,858,1102,1300.5,10081.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,446,461.5,248.5,306.5,432,489,,2383.5
Gymnase,810.25,242,228.25,180.75,58,135.5,323.75,1978.5
Palais-Royal,946.75,520.25,402,410.5,297,,371,2947.5
Porte Saint-Martin,3915.5,3476.25,2931.25,2085.25,1604,2248.15,2178.75,18439.15
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,11115,18806.96,7130,12757.13,4384,9934.32,6231,70358.41
