Théâtres,1865-01-01,1865-01-02,1865-01-03,1865-01-04,1865-01-05,1865-01-06,1865-01-07,1 - 7 jan.
Opéra,5710.62,10653.73,,6092.23,,9672.96,,32129.54
Théâtre Français,4451.5,5894,4090.5,3754,2525.5,4487.5,4374.5,29577.5
Opéra-Comique,5289,7017.5,3486,5014.5,2246.5,5440.5,3816.5,32310.5
Théâtre des Italiens,,,10127,3771,11659,,11206.82,36763.82
Odéon,1945.5,2601.5,1368,991.5,1119.25,378,1755.5,10159.25
Théâtre-Lyrique,4233.85,5641.85,2239.35,2494.85,2591.35,2527.35,2067.35,21795.95
Vaudeville,,,,,,,,
Théâtre des Variétés,2877.5,4620.5,4273.5,4239,4110,4039.5,4177,28337
Gymnase,3014,3248,2001.75,1161.75,1868,1176.75,2362.5,14832.75
Palais-Royal,3333.5,3314,2720.5,2321.75,2312.75,2309.5,2413.25,18725.25
Porte Saint-Martin,5195.25,6079,4101,4077.75,3359.75,2876.25,4379.25,30068.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,3303.7,3151.85,2958.75,2702.25,2554.55,,14671.1
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,36050.72,52373.78,37559.45,36877.08,34494.35,35462.86,36552.67,269370.91
