Théâtres,1865-03-19,1865-03-20,1865-03-21,1865-03-22,1865-03-23,1865-03-24,1865-03-25, 19 - 25 mar.
Opéra,,7306.06,,6700.65,,7606.9,,21613.61
Théâtre Français,4174,3215.5,2764.5,3709.5,3289.5,3256.5,3486,23895.5
Opéra-Comique,5250,1715.5,2681,2108,4996.5,3172,2915,22838
Théâtre des Italiens,,,5786,5018,4846,,5502,21152
Odéon,2309,1691,1425.25,1693.75,3123,467,1936.75,12645.75
Théâtre-Lyrique,2727.85,6405.35,6410.35,1018.85,6504.35,1979.35,6446.85,31492.95
Vaudeville,,,,,,,,
Théâtre des Variétés,2833,3312,3353,3420,4118.5,3366,3419.5,23822
Gymnase,2510,4621.25,4838.25,4487.75,4731.5,4609.5,4736.4,30534.65
Palais-Royal,4005.75,3167,3450.75,3363.25,4104.75,3304.25,,21395.75
Porte Saint-Martin,,,,,3202.75,5556,6672.25,15431
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,23809.6,31433.66,30709.1,31519.75,38916.85,33317.5,35114.75,224821.21
