Théâtres,1865-07-09,1865-07-10,1865-07-11,1865-07-12,1865-07-13,1865-07-14,1865-07-15,9 - 15 juil.
Opéra,,10938.46,,10786.08,,10000.67,,31725.21
Théâtre Français,1024,2540.5,3761.5,1474.5,3361.5,457.5,1458,14077.5
Opéra-Comique,2312,2956.5,3400,3789,1655.5,1754,848.5,16715.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,653,634,1789.5,1078,409.5,219,165.5,4948.5
Gymnase,276.25,375.5,1304.25,705.5,400,258.5,97.5,3417.5
Palais-Royal,565.5,732,2010.5,2003.5,2011.75,1224.25,577.5,9125
Porte Saint-Martin,2610.5,3298.25,5399,4720.25,3703.25,2536,2882.75,25150
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,7441.25,21475.21,17664.75,24556.83,11541.5,16449.92,6029.75,105159.21
