Théâtres,1865-12-03,1865-12-04,1865-12-05,1865-12-06,1865-12-07,1865-12-08,1865-12-09,3 - 9 déc.
Opéra,4867.14,10727.46,,8382.08,,10721.39,,34698.07
Théâtre Français,5037,1480,2396,2941,3636.5,3162.5,4200.5,22853.5
Opéra-Comique,5298.5,3838,2272,2660.25,2703,2077.5,2957,21806.25
Théâtre des Italiens,,3066,5607,,5118,,6338,20129
Odéon,2088.5,946,856,929,914.75,228.5,928.5,6891.25
Théâtre-Lyrique,4632.6,731.1,2810.6,1218.1,3869.6,1462.1,4836.6,19560.7
Vaudeville,,,,,,,,
Théâtre des Variétés,4616.5,4240,3840,3906.5,3906.5,,3770,24279.5
Gymnase,3335.25,1807.75,1565.75,1489.75,1559.5,1285.25,1401,12444.25
Palais-Royal,4107.25,3426,3460.25,3504.25,2521.25,3428.25,3476.75,23924
Porte Saint-Martin,5600.25,3693,3868.75,4.096.50,4403,3595,3481,24641
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,39582.99,33955.31,26676.35,25030.93,28632.1,25960.49,31389.35,211227.52
