Théâtres,1865-03-05,1865-03-06,1865-03-07,1865-03-08,1865-03-09,1865-03-10,1865-03-11, 5 - 11 mar.
Opéra,,7859.56,,7655.15,,8668.9,,24183.61
Théâtre Français,4229,2772,3307,2629.5,1405,2704,2959,20005.5
Opéra-Comique,6383.5,,3907,3421,3713.5,3353.5,3776.5,24555
Théâtre des Italiens,,12021,6815,13771,,,6609,39216
Odéon,1079.25,343.5,256.25,188.75,3317,105.75,288.5,5579
Théâtre-Lyrique,4235.35,6385.35,657.85,6434.85,,1536.85,6531.85,25782.1
Vaudeville,,,,,,,,
Théâtre des Variétés,3506,4005.5,3895.5,3937.5,3544,3804,3803,26495.5
Gymnase,2609.25,4836.25,4878.25,,4801.75,4753,4887.75,26766.25
Palais-Royal,4302,3833.75,4010.75,3901.25,3733.75,3913.25,3965.75,27660.5
Porte Saint-Martin,2681.25,,,,,,,2681.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2909.7,,,,,,,2909.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,31935.3,42056.91,27727.6,41939,20515,28839.25,32821.35,225834.41
