Théâtres,1865-07-23,1865-07-24,1865-07-25,1865-07-26,1865-07-27,1865-07-28,1865-07-29,23 - 29 juil.
Opéra,,10248.64,,6524.31,,10529.75,,27302.7
Théâtre Français,1736.5,2086,2471,758.5,2311.5,882.5,3188,13434
Opéra-Comique,4257.5,5759.5,2048,1247.5,1347.5,1742,1452,17854
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,1742,497,874,581,567,786,607,5654
Gymnase,1216.75,288.25,386.25,658.75,386,478.5,482.75,3897.25
Palais-Royal,2857,1331.25,1753.5,1306,1010.25,1004,,9262
Porte Saint-Martin,5058.25,2581,2959,3076.5,2743,3022.75,2471.5,21912
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,16868,22791.64,10491.75,14152.56,8365.25,18445.5,8201.25,99315.95
