Théâtres,1865-04-23,1865-04-24,1865-04-25,1865-04-26,1865-04-27,1865-04-28,1865-04-29,23 - 29 avr.
Opéra,,,,6150.81,,7636.66,,13787.47
Théâtre Français,1847,1951.5,1827.5,1293.5,1441,1324.5,2401.5,12086.5
Opéra-Comique,2273,1643,1653,816.5,1343.5,2193.5,1690.5,11613
Théâtre des Italiens,,,6505,5448,5017,,6996,23966
Odéon,512.5,292.5,539.75,313,136.5,200.5,473.25,2468
Théâtre-Lyrique,681.85,3098.35,6121.35,2687.85,6000.35,2096.35,6100.35,26786.45
Vaudeville,,,,,,,,
Théâtre des Variétés,389.5,2004,1581,1628,1316,1711.5,2022.5,10652.5
Gymnase,2723,2138.5,1699,1861.5,1605.25,1979.5,2051,14057.75
Palais-Royal,865.25,1508.75,912.5,919.75,1009.75,1165,,6381
Porte Saint-Martin,6250.5,6533,6236.5,5762.5,5632,5834,6005,42253.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,15542.6,19169.6,27075.6,26881.41,23501.35,24141.51,27740.1,164052.17
