Théâtres,1865-10-15,1865-10-16,1865-10-17,1865-10-18,1865-10-19,1865-10-20,1865-10-21,15 - 21 oct.
Opéra,5101.05,10834.6,,5881.75,,11024.17,,32841.57
Théâtre Français,2774.5,2039,2285,2449,1783,2071.5,2456,15858
Opéra-Comique,5651,2551.5,2768.5,2153,2638,2893,2662,21317
Théâtre des Italiens,,3655,4768,,5946,,5566,19935
Odéon,1611,485,269.25,203.75,352.25,392.25,294.75,3608.25
Théâtre-Lyrique,4424.6,846.6,3434.6,1661.1,2970.6,1856.6,3167.1,18361.2
Vaudeville,,,,,,,,
Théâtre des Variétés,2612,1498,1473,1138.5,1523.5,1205,1507,10957
Gymnase,2604.25,747.25,1287,1288.75,1303.25,1066.25,1035,9331.75
Palais-Royal,3112,1526.5,1914.25,1940.25,1912.75,1636,2450.4,14492.15
Porte Saint-Martin,5389.75,4660.25,4375.5,4310.5,4005.25,3471.5,3776.75,29989.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,33280.15,28843.7,22575.1,21026.6,22434.6,25616.27,22915,176691.42
