Théâtres,1865-10-22,1865-10-23,1865-10-24,1865-10-25,1865-10-26,1865-10-27,1865-10-28,22 - 28 oct.
Opéra,3118.71,9446.3,,8416.34,,8122.17,,29103.52
Théâtre Français,3726,1766.5,3073.5,2322,1692,1012.5,1714,15306.5
Opéra-Comique,5391,2260,1990.5,1819.5,3339.5,1806.5,2464,19071
Théâtre des Italiens,,2471,6285,,2958,,5794,17508
Odéon,1399.75,389,293.5,297.5,,,176.75,2556.5
Théâtre-Lyrique,3861,1288.6,3153.1,,2645.1,1131.1,2850.6,14929.5
Vaudeville,,,,,,,,
Théâtre des Variétés,2842.5,1313.5,1312.5,995,1062,1064.5,1051.5,9641.5
Gymnase,2461,836.25,1032.25,942.75,911,1169,1165,8517.25
Palais-Royal,3428.25,2222,2327.25,2112.5,2010,2316.75,1844.25,16261
Porte Saint-Martin,5396.25,3899.75,4355,3407,3806,3547,2652,27063
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,31624.46,25892.9,23822.6,20312.59,18423.6,20169.52,19712.1,159957.77
