Théâtres,1865-05-07,1865-05-08,1865-05-09,1865-05-10,1865-05-11,1865-05-12,1865-05-13,7 - 13 mai
Opéra,,11780.35,,11697.31,,11944.88,,35422.54
Théâtre Français,1551,4803,4691.5,2888,5231.5,1202.5,,20367.5
Opéra-Comique,1660.5,3412,953,4562,3470.75,5826.5,4978.5,24863.25
Théâtre des Italiens,,,,,,,,
Odéon,495,,174.5,326,823.5,933.75,336.25,3089
Théâtre-Lyrique,946.85,6012.35,6006.85,1804.35,6189.85,1114.35,6088.85,28163.45
Vaudeville,,,,,,,,
Théâtre des Variétés,623.5,1937.5,2200,2444.5,2908,2923,2684.5,15721
Gymnase,501.25,1773.5,1452.25,2190.25,2889.25,3083,2287.5,14177
Palais-Royal,941,710.25,1023.75,1825.75,2115.75,1797.5,1847.75,10261.75
Porte Saint-Martin,4875,6282.5,6069.75,5269,6767.5,6585,6432.75,42281.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,11594.1,36711.45,22571.6,33007.16,30396.1,35410.48,24656.1,194346.99
