An 1865,,,,,,,
Mois,Semaines,,,,,,Total mois
Janvier,269370.91,241421.04,232344.89,253996.47,108282.93,,1105416.24
Février,150155.57,243899.22,265495.23,245470.35,160500.08,,1065520.45
Mars,125252.25,225834.41,202703.9,224821.21,202537.54,,981149.31
Avril,34967.6,212579.86,118368.64,226119.19,164052.17,15810.35,771897.81
Mai,199518.28,194346.99,203777.74,170135.68,86494.85,,854273.54
Juin,70255.63,130578.93,140113.14,95111.65,99814.47,,535873.82
Juillet,16803.25,70358.41,105159.21,101106.25,99315.95,24068.14,416811.21
Août,77229.31,103784.94,114796,117286.25,77489.42,,490585.92
Septembre,36788.18,82285.85,115758.1,118980.1,136413.69,,490225.92
Octobre,166195.88,195226.95,176691.42,159957.77,75094.34,,773166.36
Novembre,98454.96,170212.27,181926.69,182673.86,156383.22,,789651
Décembre,59580.34,211227.52,172249.01,161822.69,174647.83,28108.89,807636.28
Total an,1304572.16,2081756.39,2029383.97,2057481.47,1541026.49,67987.38,9082207.86
