Théâtres,1865-04-09,1865-04-10,1865-04-11,1865-04-12,1865-04-13,1865-04-14,1865-04-15, 9 - 15 avr.
Opéra,,6168,,5959.09,,,,12127.09
Théâtre Français,2326,1183.5,1235.5,,,,,4745
Opéra-Comique,2341.5,978,843.5,1760.25,,,,5923.25
Théâtre des Italiens,,,6224,3211,,,,9435
Odéon,678,559.25,449.5,297.25,,,,1984
Théâtre-Lyrique,1211.35,5326.85,5491.85,,,,,12030.05
Vaudeville,,,,,,,,
Théâtre des Variétés,1038.5,2010.5,2403.5,2500.5,2300,,2270.5,12523.5
Gymnase,827,2579,2669.5,2519.75,2311,,2373.75,13280
Palais-Royal,1641,1403.75,1414,1116,1013.5,,1813.5,8401.75
Porte Saint-Martin,6802.5,6448.75,6053.75,6030.25,6162.75,,6421,37919
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,16865.85,26657.6,26785.1,23394.09,11787.25,0,12878.75,118368.64
