Théâtres,1865-03-26,1865-03-27,1865-03-28,1865-03-29,1865-03-30,1865-03-31,1865-04-01,26 - 31 mar.,1 avr.
Opéra,,7218.06,,6162.25,,8023.38,,21403.69,
Théâtre Français,4665,1303,2864,2891.5,2056.5,2998.5,2701,16778.5,2701
Opéra-Comique,6323.5,2693.5,2042.25,3124,1782.25,2925.75,2156,18891.25,2156
Théâtre des Italiens,,,5935,3562,4756,,5779,14253,5779
Odéon,2613.25,1341.25,1531.25,1328,1183,346.75,1306.25,8343.5,1306.25
Théâtre-Lyrique,2605.85,6411.85,6456.85,672.35,6414.35,1279.35,6352.85,23840.6,6352.85
Vaudeville,,,,,,,,,
Théâtre des Variétés,2718,2699,3061,,3113.5,3063,3205,14654.5,3205
Gymnase,2957,4314.5,4511.25,4401.25,4300.25,4400.25,3928.25,24884.5,3928.25
Palais-Royal,3843.25,3163.25,2734.25,3146.25,2703.25,2880,2741.75,18470.25,2741.75
Porte Saint-Martin,7070.25,6883.5,6754,6811,6652,6847,6797.5,41017.75,6797.5
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,32796.1,36027.91,35889.85,32098.6,32961.1,32763.98,34967.6,202537.54,34967.6
