Théâtres,1865-08-13,1865-08-14,1865-08-15,1865-08-16,1865-08-17,1865-08-18,1865-08-19,13 -19 août
Opéra,,11728.14,,11718.21,,8566.65,,32013
Théâtre Français,1824.5,2039,,1786.5,1815.5,2064.5,1322.5,10852.5
Opéra-Comique,4196,2892.5,,3358,,,2222,12668.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,1493.5,979.5,,1285.5,1474.5,1539,954,7726
Gymnase,1845,562.5,,839.5,1130,991.75,652.25,6021
Palais-Royal,2210.5,1707.5,,1912,2410.25,2005,,10245.25
Porte Saint-Martin,5002.25,5965.25,,6320,6149.75,6231,5601.5,35269.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,16571.75,25874.39,0,27219.71,12980,21397.9,10752.25,114796
