Théâtres,1865-06-11,1865-06-12,1865-06-13,1865-06-14,1865-06-15,1865-06-16,1865-06-17,11 - 17 juin
Opéra,,12061.37,,11565.5,,11890.67,,35517.54
Théâtre Français,1202,4283,4483,1520,4632.5,733.5,4104.5,20958.5
Opéra-Comique,1167.5,2288,1472,2354,1076,2440,1711.25,12508.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,4133.85,3140.35,924.85,3873.35,868.35,4234.85,17175.6
Vaudeville,,,,,,,,
Théâtre des Variétés,,,1849.5,2232.5,2329,2060.5,1519.5,9991
Gymnase,1021.25,1507.75,1007,1377.5,1353,818.25,352.5,7437.25
Palais-Royal,1006,1516,911.75,904,1740.75,1614.75,1122.5,8815.75
Porte Saint-Martin,2907.5,5045.5,3990.75,4324.25,3659.75,4047.25,3733.75,27708.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,7304.25,30835.47,16854.35,25202.6,18664.35,24473.27,16778.85,140113.14
